UBLIVE-台灣頻道,#genre#
三立LIVE新聞,http://45.11.92.170/play/smart/xziptv.php?id=4
三立LIVE新聞,http://45.11.92.170/play/smart/xziptv.php?id=1008
東森新聞,http://45.11.92.170/play/smart/xziptv.php?id=9
東森新聞,http://45.11.92.170/play/smart/xziptv.php?id=1016
中天新聞,http://45.11.92.170/play/smart/xziptv.php?id=3
中天新聞,http://45.11.92.170/play/smart/xziptv.php?id=1002
民視新聞,http://45.11.92.170/play/smart/xziptv.php?id=13
民視新聞HD,http://45.11.92.170/play/smart/xziptv.php?id=317
TVBS新聞,http://45.11.92.170/play/smart/xziptv.php?id=2
TVBS新聞,http://45.11.92.170/play/smart/xziptv.php?id=1004
東森財經,http://45.11.92.170/play/smart/xziptv.php?id=12
華視新聞,http://45.11.92.170/play/smart/xziptv.php?id=6
iNEWS,http://45.11.92.170/play/smart/xziptv.php?id=8
台視新聞,http://45.11.92.170/play/smart/xziptv.php?id=1
中視新聞,http://45.11.92.170/play/smart/xziptv.php?id=7
年代新聞,http://45.11.92.170/play/smart/xziptv.php?id=1099
三立国際,http://45.11.92.170/play/smart/xziptv.php?id=2285
非凡商業,http://45.11.92.170/play/smart/xziptv.php?id=187
非凡新聞,http://45.11.92.170/play/smart/xziptv.php?id=314
寰宇財經,http://45.11.92.170/play/smart/xziptv.php?id=320
DW德國之聲,http://45.11.92.170/play/smart/xziptv.php?id=1059
DW News,http://45.11.92.170/play/smart/xziptv.php?id=14
VOA美國之音,http://45.11.92.170/play/smart/xziptv.php?id=495
VOA衛視,http://45.11.92.170/play/smart/xziptv.php?id=22
台視財經,http://45.11.92.170/play/smart/xziptv.php?id=300
寰宇新聞,http://45.11.92.170/play/smart/xziptv.php?id=304
寰宇臺灣,http://45.11.92.170/play/smart/xziptv.php?id=87
寰宇臺灣,http://45.11.92.170/play/smart/xziptv.php?id=2273
壹電視新聞,http://45.11.92.170/play/smart/xziptv.php?id=303
FRANCE 24 English,http://45.11.92.170/play/smart/xziptv.php?id=2231
FRANCE 24,http://45.11.92.170/play/smart/xziptv.php?id=1042
新唐人亞太台,http://45.11.92.170/play/smart/xziptv.php?id=10
CBN News,http://45.11.92.170/play/smart/xziptv.php?id=499
THE WORLD,http://45.11.92.170/play/smart/xziptv.php?id=1013
RT News,http://45.11.92.170/play/smart/xziptv.php?id=1025
TRTWORLD,http://45.11.92.170/play/smart/xziptv.php?id=1022
Bloomberg Financial,http://45.11.92.170/play/smart/xziptv.php?id=1046
Al Jazeera,http://45.11.92.170/play/smart/xziptv.php?id=1144
Bloomberg Europe,http://45.11.92.170/play/smart/xziptv.php?id=370
第1商業,http://45.11.92.170/play/smart/xziptv.php?id=186
CNN頭條新聞,http://45.11.92.170/play/smart/xziptv.php?id=43
CNN國際新聞,http://45.11.92.170/play/smart/xziptv.php?id=420
BBC World News,http://45.11.92.170/play/smart/xziptv.php?id=421
運通財經,http://45.11.92.170/play/smart/xziptv.php?id=79
歐洲新聞,http://45.11.92.170/play/smart/xziptv.php?id=1343
SBN全球財經,http://45.11.92.170/play/smart/xziptv.php?id=1497
半島國際新聞,http://45.11.92.170/play/smart/xziptv.php?id=1498
Lifetime台湾版,http://45.11.92.170/play/smart/xziptv.php?id=2283
UBLIVE-影視頻道,#genre#
緯來精彩台,http://45.11.92.170/play/smart/xziptv.php?id=2280
MOMO追劇,http://45.11.92.170/play/smart/xziptv.php?id=494
愛爾達影劇,http://45.11.92.170/play/smart/xziptv.php?id=500
東森戲劇,http://45.11.92.170/play/smart/xziptv.php?id=321
八大戲劇,http://45.11.92.170/play/smart/xziptv.php?id=81
緯來戲劇,http://45.11.92.170/play/smart/xziptv.php?id=339
衛視電影,http://45.11.92.170/play/smart/xziptv.php?id=93
東森電影,http://45.11.92.170/play/smart/xziptv.php?id=350
緯來電影,http://45.11.92.170/play/smart/xziptv.php?id=96
HBO HD,http://45.11.92.170/play/smart/xziptv.php?id=332
東森洋片,http://45.11.92.170/play/smart/xziptv.php?id=1128
壹電影,http://45.11.92.170/play/smart/xziptv.php?id=2284
好萊塢電影,http://45.11.92.170/play/smart/xziptv.php?id=37
FOX MOVIES,http://45.11.92.170/play/smart/xziptv.php?id=387
CineMAX,http://45.11.92.170/play/smart/xziptv.php?id=346
FOX,http://45.11.92.170/play/smart/xziptv.php?id=384
靖天映畫,http://45.11.92.170/play/smart/xziptv.php?id=349
靖洋戲劇,http://45.11.92.170/play/smart/xziptv.php?id=319
EYE戲劇,http://45.11.92.170/play/smart/xziptv.php?id=191
三立戲劇,http://45.11.92.170/play/smart/xziptv.php?id=64
FOX ACTION,http://45.11.92.170/play/smart/xziptv.php?id=385
霹靂臺灣,http://45.11.92.170/play/smart/xziptv.php?id=1339
美亞電影,http://45.11.92.170/play/smart/xziptv.php?id=375
民視影劇,http://45.11.92.170/play/smart/xziptv.php?id=1023
FOX CRIME,http://45.11.92.170/play/smart/xziptv.php?id=386
FOX Family,http://45.11.92.170/play/smart/xziptv.php?id=383
HBOSignature,http://45.11.92.170/play/smart/xziptv.php?id=329
HBO Hits,http://45.11.92.170/play/smart/xziptv.php?id=330
影迷數位電影,http://45.11.92.170/play/smart/xziptv.php?id=497
龍華戲劇,http://45.11.92.170/play/smart/xziptv.php?id=365
龍華經典,http://45.11.92.170/play/smart/xziptv.php?id=100
龍翔時代,http://45.11.92.170/play/smart/xziptv.php?id=373
AXN臺灣,http://45.11.92.170/play/smart/xziptv.php?id=423
天映經典,http://45.11.92.170/play/smart/xziptv.php?id=2289
天映經典,http://45.11.92.170/play/smart/xziptv.php?id=328
AMC,http://45.11.92.170/play/smart/xziptv.php?id=92
星衛電影,http://45.11.92.170/play/smart/xziptv.php?id=496
公視戲劇,http://45.11.92.170/play/smart/xziptv.php?id=69
光影歐洲,http://45.11.92.170/play/smart/xziptv.php?id=1157
AXN亞洲,http://45.11.92.170/play/smart/xziptv.php?id=1066
Trill恐怖電影,http://45.11.92.170/play/smart/xziptv.php?id=18
HBO Family,http://45.11.92.170/play/smart/xziptv.php?id=331
龍華電影,http://45.11.92.170/play/smart/xziptv.php?id=311
華納電影,http://45.11.92.170/play/smart/xziptv.php?id=83
金光布袋戲,http://45.11.92.170/play/smart/xziptv.php?id=1060
衛視西片,http://45.11.92.170/play/smart/xziptv.php?id=369
CATCHPLAY,http://45.11.92.170/play/smart/xziptv.php?id=362
Blue Ant Extreme,http://45.11.92.170/play/smart/xziptv.php?id=103
CHC高清電影,http://45.11.92.170/play/smart/xziptv.php?id=1345
CHC動作電影,http://45.11.92.170/play/smart/xziptv.php?id=1346
CHC家庭影院,http://45.11.92.170/play/smart/xziptv.php?id=1347
CBN每日影院,http://45.11.92.170/play/smart/xziptv.php?id=1348
SETONE,http://45.11.92.170/play/smart/xziptv.php?id=1349
GEM,http://45.11.92.170/play/smart/xziptv.php?id=1350
廣東影視,http://45.11.92.170/play/smart/xziptv.php?id=1499
嶺南戲曲,http://45.11.92.170/play/smart/xziptv.php?id=1502
UBLIVE-體育頻道,#genre#
緯來體育,http://45.11.92.170/play/smart/xziptv.php?id=52
緯來體育,http://45.11.92.170/play/smart/xziptv.php?id=118
FOX Sport 1,http://45.11.92.170/play/smart/xziptv.php?id=1131
FOX Sport 2,http://45.11.92.170/play/smart/xziptv.php?id=1132
FOX Sport 3,http://45.11.92.170/play/smart/xziptv.php?id=376
Eleven Sport 1,http://45.11.92.170/play/smart/xziptv.php?id=1133
Eleven Sport 2,http://45.11.92.170/play/smart/xziptv.php?id=301
ELEVEN SPORTS PLUS,http://45.11.92.170/play/smart/xziptv.php?id=419
ELTA體育1,http://45.11.92.170/play/smart/xziptv.php?id=192
ELTA體育2,http://45.11.92.170/play/smart/xziptv.php?id=193
ELTA體育3,http://45.11.92.170/play/smart/xziptv.php?id=194
Z頻道,http://45.11.92.170/play/smart/xziptv.php?id=1130
博斯無限,http://45.11.92.170/play/smart/xziptv.php?id=381
博斯無限2,http://45.11.92.170/play/smart/xziptv.php?id=426
博斯網球,http://45.11.92.170/play/smart/xziptv.php?id=498
博斯高球1,http://45.11.92.170/play/smart/xziptv.php?id=377
博斯高球2,http://45.11.92.170/play/smart/xziptv.php?id=378
博斯運動1,http://45.11.92.170/play/smart/xziptv.php?id=379
博斯運動2,http://45.11.92.170/play/smart/xziptv.php?id=380
TRACE Sport Stars,http://45.11.92.170/play/smart/xziptv.php?id=1037
智林體育,http://45.11.92.170/play/smart/xziptv.php?id=82
時尚運動X,http://45.11.92.170/play/smart/xziptv.php?id=71
歐洲體育,http://45.11.92.170/play/smart/xziptv.php?id=1342
Edge Sport,http://45.11.92.170/play/smart/xziptv.php?id=1341
Ginx電競,http://45.11.92.170/play/smart/xziptv.php?id=425
NOW SPORTS,http://45.11.92.170/play/smart/xziptv.php?id=1358
風雲足球,http://45.11.92.170/play/smart/xziptv.php?id=463
魅力足球,http://45.11.92.170/play/smart/xziptv.php?id=464
高爾夫,http://45.11.92.170/play/smart/xziptv.php?id=1503
jsport1,http://45.11.92.170/play/smart/xziptv.php?id=129
jsport2,http://45.11.92.170/play/smart/xziptv.php?id=130
jsport3,http://45.11.92.170/play/smart/xziptv.php?id=131
jsport4,http://45.11.92.170/play/smart/xziptv.php?id=132
BT Sport ESPN,http://45.11.92.170/play/smart/xziptv.php?id=168
BT Sport 2,http://45.11.92.170/play/smart/xziptv.php?id=166
BT Sport 3,http://45.11.92.170/play/smart/xziptv.php?id=167
BT Sport 1,http://45.11.92.170/play/smart/xziptv.php?id=165
Sky Sport 2,http://45.11.92.170/play/smart/xziptv.php?id=171
Sky Sports 1,http://45.11.92.170/play/smart/xziptv.php?id=172
Sky Sports F1,http://45.11.92.170/play/smart/xziptv.php?id=182
Sky Sport 3,http://45.11.92.170/play/smart/xziptv.php?id=183
Sky Sport 4,http://45.11.92.170/play/smart/xziptv.php?id=417
Sky Sport 5,http://45.11.92.170/play/smart/xziptv.php?id=418
Astro Sp2,http://45.11.92.170/play/smart/xziptv.php?id=445
Astro Sp3,http://45.11.92.170/play/smart/xziptv.php?id=446
Astro Sp4,http://45.11.92.170/play/smart/xziptv.php?id=447
Fox Sport 1 vn,http://45.11.92.170/play/smart/xziptv.php?id=2264
Fox Sport 2 vn,http://45.11.92.170/play/smart/xziptv.php?id=2265
Fox Sport 3 vn,http://45.11.92.170/play/smart/xziptv.php?id=2266
UBLIVE-紀實頻道,#genre#
TVN,http://45.11.92.170/play/smart/xziptv.php?id=1583
EYE旅遊,http://45.11.92.170/play/smart/xziptv.php?id=1494
國家地理,http://45.11.92.170/play/smart/xziptv.php?id=302
探索頻道,http://45.11.92.170/play/smart/xziptv.php?id=1035
TLC旅遊生活,http://45.11.92.170/play/smart/xziptv.php?id=102
TLC,http://45.11.92.170/play/smart/xziptv.php?id=2275
動物星球,http://45.11.92.170/play/smart/xziptv.php?id=367
民視旅遊,http://45.11.92.170/play/smart/xziptv.php?id=78
探索亞洲,http://45.11.92.170/play/smart/xziptv.php?id=306
探索科學,http://45.11.92.170/play/smart/xziptv.php?id=343
國家野生,http://45.11.92.170/play/smart/xziptv.php?id=1038
探索EVE,http://45.11.92.170/play/smart/xziptv.php?id=1036
History,http://45.11.92.170/play/smart/xziptv.php?id=116
BBC Lifestyle,http://45.11.92.170/play/smart/xziptv.php?id=424
視納華仁紀實,http://45.11.92.170/play/smart/xziptv.php?id=91
美食星球,http://45.11.92.170/play/smart/xziptv.php?id=1360
BBC EARTH,http://45.11.92.170/play/smart/xziptv.php?id=97
探索動力DMAX,http://45.11.92.170/play/smart/xziptv.php?id=335
Pet Club,http://45.11.92.170/play/smart/xziptv.php?id=368
國家人文,http://45.11.92.170/play/smart/xziptv.php?id=334
國家地理悠人,http://45.11.92.170/play/smart/xziptv.php?id=114
NASA TV,http://45.11.92.170/play/smart/xziptv.php?id=25
Earth Views,http://45.11.92.170/play/smart/xziptv.php?id=1017
NASA Live,http://45.11.92.170/play/smart/xziptv.php?id=196
